BULK WATER STORAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,58 644,,,,33 517,335,,,31 767,318,,,164 095,1 641,,,925,9,,,955,10,,,128,1,,,134,1,,,242,2,,,1 301,13,,,168,2,,,480 188,,,,130 010,,,,898 221,,,,451,,,
,WEMMERSHOEK,,,,STEENBRAS LOWER,,,,STEENBRAS UPPER,,,,VOËLVLEI,,,,HELY-HUTCHINSON,,,,WOODHEAD,,,,VICTORIA,,,,ALEXANDRA,,,,DE VILLIERS,,,,KLEINPLAATS,,,,LEWIS GAY,,,,THEEWATERSKLOOF,,,,BERG RIVER,,,,TOTAL STORED - BIG 6,,,,LAND-en ZEEZICHT,,,
DATE,HEIGHT,STORAGE,Current,Last Year,HEIGHT,STORAGE,Current,Last Year,HEIGHT,STORAGE,Current,Last Year,HEIGHT,STORAGE,Current,Last Year,HEIGHT,STORAGE,Current,Last Year,HEIGHT,STORAGE,Current,Last Year,HEIGHT,STORAGE,Current,Last Year,HEIGHT,STORAGE,Current,Last Year,HEIGHT,STORAGE,Current,Last Year,HEIGHT,STORAGE,Current,Last Year,HEIGHT,STORAGE,Current,Last Year,HEIGHT,STORAGE,Current,Last Year,HEIGHT,STORAGE,Current,Last Year,STORAGE,Current,Last Year,,HEIGHT,STORAGE,Current,Last Year
,(m),(Ml),%,%,(m),(Ml),%,%,(m),(Ml),%,%,(m),(Ml),%,%,(m),(Ml),%,%,(m),(Ml),%,%,(m),(Ml),%,%,(m),(Ml),%,%,(m),(Ml),%,%,(m),(Ml),%,%,(m),(Ml),%,%,(m),(Ml),%,%,(m),(Ml),%,%,(Ml),%,%,,(m),(Ml),%,%
01-Jan-12,48.23,44 621,76.1,,20.34,23 549,70.3,,24.17,29 620,93.2,,14.99,124 100,75.6,,14.17,763,82.5,,35.3,742.8,77.8,,0,0,0,,10.64,99.9,74.4,,26.28,196.5,81,,6.15,336.6,25.9,,13.9,128.3,76.4,,24.83,357 963,74.5,,39.33,115 930,89.2,,695 783,77.46,,,,,,
02-Jan-12,48.21,44 571,76,,20.31,23 460,70,,24.17,29 620,93.2,,14.97,123 812,75.5,,14.17,763,82.5,,35.3,742.8,77.8,,0,0,0,,10.61,99.2,73.9,,26.28,196.5,81,,6.15,336.6,25.9,,13.9,128.3,76.4,,24.8,356 677,74.3,,39.12,114 850,88.3,,692 990,77.15,,,,,,
03-Jan-12,48.17,44 471,75.8,,20.28,23 372,69.7,,24.15,29 570,93.1,,14.93,123 237,75.1,,14.24,773,83.6,,35.33,745.4,78.1,,0,0,0,,10.59,98.7,73.5,,26.31,197.3,81.4,,6.15,336.6,25.9,,13.9,128.3,76.4,,24.77,355 394,74,,39.01,114 280,87.9,,690 324,76.85,,,,,,
04-Jan-12,48.13,44 372,75.7,,20.26,23 313,69.6,,24.17,29 620,93.2,,14.88,122 520,74.7,,14.38,794,85.8,,35.38,749.6,78.5,,0,0,0,,10.61,99.2,73.9,,26.33,197.8,81.6,,6.13,334.2,25.7,,13.9,128.3,76.4,,24.73,353 687,73.7,,38.91,113 770,87.5,,687 282,76.52,,,,,,
05-Jan-12,48.11,44 322,75.6,,20.23,23 224,69.3,,24.05,29 317,92.3,,14.84,121 947,74.3,,14.4,797,86.1,,35.38,749.6,78.5,,0,0,0,,10.6,98.9,73.7,,26.34,198,81.7,,6.1,330.6,25.4,,13.9,128.3,76.4,,24.67,351 135,73.1,,38.84,113 410,87.2,,683 355,76.08,,,,,,
06-Jan-12,48.07,44 221,75.4,,20.2,23 136,69,,24.14,29 545,93,,14.8,121 374,74,,14.41,798,86.3,,35.24,737.7,77.3,,0,0,0,,10.58,98.5,73.3,,26.36,198.5,81.9,,6.1,330.6,25.4,,13.9,128.3,76.4,,24.64,349 863,72.9,,38.78,113 100,87,,681 239,75.84,,,,,,
07-Jan-12,48.01,44 074,75.2,,20.17,23 047,68.8,,24.12,29 495,92.8,,14.79,121 232,73.9,,14.43,801,86.6,,35.12,727.7,76.2,,0,0,0,,10.55,97.7,72.8,,26.36,198.5,81.9,,6.1,330.6,25.4,,13.9,128.3,76.4,,24.61,348 594,72.6,,38.78,113 100,87,,679 542,75.65,,,,,,
08-Jan-12,47.97,43 973,75,,20.17,23 047,68.8,,24.02,29 242,92.1,,14.79,121 232,73.9,,14.43,801,86.6,,34.99,717.2,75.1,,0,0,0,,10.53,97.3,72.5,,26.35,198.3,81.8,,6.1,330.6,25.4,,13.9,128.3,76.4,,24.58,347 327,72.3,,38.78,113 100,87,,677 921,75.47,,,,,,
09-Jan-12,47.91,43 826,74.7,,20.15,22 988,68.6,,24.18,29 646,93.3,,14.72,120 233,73.3,,14.43,801,86.6,,34.82,703.5,73.7,,0,0,0,,10.51,96.8,72.1,,26.33,197.8,81.6,,6.08,328.3,25.2,,13.86,127.2,75.7,,24.54,345 643,72,,38.78,113 100,87,,675 436,75.2,,,,,,
10-Jan-12,47.88,43 752,74.6,,20.12,22 900,68.3,,24.16,29 595,93.2,,14.69,119 805,73,,14.44,802,86.8,,34.67,691.5,72.4,,0,0,0,,10.47,95.8,71.4,,26.35,198.3,81.8,,6.06,325.9,25.1,,13.86,127.2,75.7,,24.5,343 963,71.6,,38.52,111 780,86,,671 795,74.79,,,,,,
11-Jan-12,47.84,43 654,74.4,,20.11,22 870,68.2,,24.16,29 595,93.2,,14.56,117 960,71.9,,14.45,804,86.9,,34.49,677.7,71,,0,0,0,,10.45,95.4,71,,26.36,198.5,81.9,,6.06,325.9,25.1,,13.86,127.2,75.7,,24.47,342 706,71.4,,38.44,111 370,85.7,,668 155,74.39,,,,,,
12-Jan-12,47.82,43 605,74.4,,20.09,22 812,68.1,,24.32,30 003,94.4,,14.64,119 094,72.6,,14.45,804,86.9,,34.35,666.7,69.8,,0,0,0,,10.44,95.1,70.9,,26.36,198.5,81.9,,6.04,323.6,24.9,,13.78,125,74.4,,24.44,341 452,71.1,,37.44,111 370,85.7,,668 336,74.41,,,,,,
13-Jan-12,47.77,43 483,74.1,,20.06,22 725,67.8,,24.23,29 773,93.7,,14.6,118 527,72.2,,14.45,804,86.9,,34.18,653.8,68.5,,0,0,0,,10.41,94.4,70.3,,26.35,198.3,81.8,,6.02,321.2,24.7,,13.78,125,74.4,,24.42,340 617,70.9,,38.28,110 570,85,,665 695,74.11,,,,,,
14-Jan-12,47.74,43 409,74,,20.04,22 667,67.6,,24.39,30 182,95,,14.55,117 818,71.8,,14.44,802,86.8,,34.03,642.4,67.3,,0,0,0,,10.39,93.9,70,,26.34,198,81.7,,6.01,320.1,24.6,,13.74,123.9,73.8,,24.38,338 951,70.6,,38.28,110 570,85,,663 597,73.88,,,,,,
15-Jan-12,47.71,43 336,73.9,,20,22 552,67.3,,24.38,30 156,94.9,,14.55,117 818,71.8,,14.48,808,87.4,,33.89,631.7,66.2,,0,0,0,,10.36,93.2,69.4,,26.37,198.8,82,,5.98,316.6,24.3,,13.5,117.6,70,,24.35,337 705,70.3,,38.28,110 570,85,,662 137,73.72,,,,,,
16-Jan-12,47.71,43 336,73.9,,19.97,22 465,67,,24.38,30 156,94.9,,14.5,117 111,71.4,,14.5,811,87.7,,33.74,620.2,64.9,,0,0,0,,10.34,92.8,69.1,,26.36,198.5,81.9,,5.98,316.6,24.3,,13.36,114,67.9,,24.32,336 461,70.1,,38.06,109 460,84.2,,658 989,73.37,,,,,,
17-Jan-12,47.63,43 140,73.6,,19.95,22 407,66.9,,24.14,29 545,93,,14.4,115 700,70.5,,14.5,811,87.7,,33.56,606.8,63.5,,0,0,0,,10.32,92.3,68.7,,26.37,198.8,82,,5.98,316.6,24.3,,13.3,112.5,67,,24.26,333 981,69.6,,37.98,109 060,83.9,,653 833,72.79,,,,,,
18-Jan-12,47.59,43 042,73.4,,19.92,22 320,66.6,,24.04,29 292,92.2,,14.35,114 997,70.1,,14.44,802,86.8,,33.53,604.6,63.3,,0,0,0,,10.29,91.6,68.2,,26.25,195.7,80.7,,5.98,316.6,24.3,,13.3,112.5,67,,24.24,333 157,69.4,,37.9,108 650,83.6,,651 458,72.53,,,,,,
19-Jan-12,47.56,42 969,73.3,,19.87,22 175,66.2,,23.98,29 141,91.7,,14.32,114 576,69.8,,14.38,794,85.8,,33.49,601.8,63,,0,0,0,,10.26,90.9,67.7,,26.13,192.8,79.5,,5.98,316.6,24.3,,13.3,112.5,67,,24.22,332 334,69.2,,37.84,108 340,83.3,,649 535,72.31,,,,,,
20-Jan-12,47.52,42 872,73.1,,19.84,22 089,65.9,,23.95,29 066,91.5,,14.28,114 016,69.5,,14.29,781,84.4,,33.47,600.3,62.9,,0,0,0,,10.24,90.4,67.3,,26,189.6,78.2,,5.98,316.6,24.3,,13.3,112.5,67,,24.17,330 282,68.8,,37.77,107 990,83.1,,646 315,71.96,,,,,,
21-Jan-12,47.47,42 750,72.9,,19.78,21 916,65.4,,23.95,29 066,91.5,,14.23,113 316,69.1,,14.2,767,83,,33.43,597.5,62.6,,0,0,0,,10.2,89.4,66.6,,25.88,186.8,77.1,,5.95,313.1,24.1,,13.2,110,65.5,,24.14,329 054,68.5,,37.77,107 990,83.1,,644 092,71.71,,,,,,
22-Jan-12,47.43,42 653,72.7,,19.72,21 747,64.9,,23.86,28 841,90.8,,14.19,112 757,68.7,,14.15,760,82.2,,33.41,596,62.4,,0,0,0,,10.18,88.9,66.3,,25.76,183.8,75.8,,5.95,313.1,24.1,,13.1,107.6,64,,24.11,327 829,68.3,,37.77,107 990,83.1,,641 817,71.45,,,,,,
23-Jan-12,47.41,42 604,72.6,,19.7,21 690,64.7,,24.35,30 078,94.7,,14.15,112 199,68.4,,14.09,751,81.2,,33.39,594.5,62.3,,0,0,0,,10.15,88.2,65.7,,25.63,180.7,74.5,,5.95,313.1,24.1,,13,105.1,62.6,,24.08,326 606,68,,37.52,106 720,82.1,,639 897,71.24,,,,,,
24-Jan-12,47.37,42 503,72.5,,19.68,21 633,64.5,,24.35,30 078,94.7,,14.11,111 643,68,,14.03,742,80.2,,33.38,593.8,62.2,,0,0,0,,10.15,88.2,65.7,,25.52,178.1,73.4,,5.92,309.7,23.8,,12.98,104.7,62.3,,24.05,325 386,67.8,,37.41,106 160,81.7,,637 403,70.96,,,,,,
25-Jan-12,47.3,42 337,72.2,,19.66,21 576,64.4,,24.41,30 233,95.2,,14.06,110 948,67.6,,13.99,736,79.6,,33.38,593.8,62.2,,0,0,0,,10.15,88.2,65.7,,25.48,177.1,73.1,,5.92,309.7,23.8,,12.98,104.7,62.3,,24.01,323 764,67.4,,37.28,105 510,81.2,,634 368,70.62,,,,,,
26-Jan-12,47.26,42 237,72,,19.62,21 463,64,,24.35,30 078,94.7,,14,110 116,67.1,,13.89,721,78,,33.36,592.3,62,,0,0,0,,10.13,87.8,65.4,,25.42,175.7,72.5,,5.9,307.4,23.6,,12.98,104.7,62.3,,23.97,322 146,67.1,,37.15,104 860,80.7,,630 900,70.24,,,,,,
27-Jan-12,47.22,42 142,71.9,,19.6,21 407,63.9,,24.32,30 003,94.4,,13.97,109 701,66.9,,13.86,717,77.5,,33.35,591.5,61.9,,0,0,0,,10.09,86.8,64.7,,24.82,161.9,66.8,,5.85,301.8,23.2,,12.98,104.7,62.3,,23.93,320 532,66.8,,37.07,104 460,80.3,,628 245,69.94,,,,,,
